键                            值                         注释

Version                       string                     上一次打开时的版本号

IsShowDanmaku	              bool                       是否显示弹幕
IsShowScrollableDanmaku       bool                       是否显示滚动弹幕
IsShowTopDanmaku              bool                       是否显示顶部弹幕
IsShowBottomDanmaku           bool                       是否显示底部弹幕
DanmakuSize                   double                     弹幕大小倍率,值为1时Fontsize=15
DanmakuSpeed                  double                     滚动弹幕的速度倍率
DanmakuOpacity                double                     弹幕的不透明度(0-1)
